220404-01:28:05 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:28:05 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:28:05 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:28:11 [INFO] -- Poll: TimesUp 71712 0
220404-01:28:11 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:28:11 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:28:11 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:28:11 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:28:17 [INFO] -- Poll: TimesUp 52090 0
220404-01:28:17 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:28:17 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:28:17 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:28:17 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:28:23 [INFO] -- Poll: TimesUp 87976 0
220404-01:28:23 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:28:23 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:28:23 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:28:23 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:28:29 [INFO] -- Poll: TimesUp 81956 0
220404-01:28:29 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:28:29 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:28:29 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:28:29 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:28:35 [INFO] -- Poll: TimesUp 61879 0
220404-01:28:35 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:28:35 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:28:35 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:28:35 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:28:41 [INFO] -- Poll: TimesUp 56962 0
220404-01:28:41 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:28:41 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:28:41 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:28:41 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:28:47 [INFO] -- Poll: TimesUp 10838 0
220404-01:28:47 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:28:47 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:28:47 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:28:47 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:28:53 [INFO] -- Poll: TimesUp 81782 0
220404-01:28:53 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:28:53 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:28:53 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:28:53 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:28:59 [INFO] -- Poll: TimesUp 36539 0
220404-01:28:59 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:28:59 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:28:59 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:28:59 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:29:05 [INFO] -- Poll: TimesUp 66401 0
220404-01:29:05 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:29:05 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:29:05 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:29:05 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:29:11 [INFO] -- Poll: TimesUp 11403 0
220404-01:29:11 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:29:11 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:29:11 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:29:11 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:29:17 [INFO] -- Poll: TimesUp 61544 0
220404-01:29:17 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:29:17 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:29:17 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:29:17 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:29:23 [INFO] -- Poll: TimesUp 28892 0
220404-01:29:23 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:29:23 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:29:23 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:29:23 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:29:29 [INFO] -- Poll: TimesUp 81265 0
220404-01:29:29 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:29:29 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:29:29 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:29:29 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:29:35 [INFO] -- Poll: TimesUp 11127 0
220404-01:29:35 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:29:35 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:29:35 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:29:35 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:29:41 [INFO] -- Poll: TimesUp 85990 0
220404-01:29:41 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:29:41 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:29:41 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:29:41 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:29:47 [INFO] -- Poll: TimesUp 77267 0
220404-01:29:47 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:29:47 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:29:47 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:29:47 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:29:53 [INFO] -- Poll: TimesUp 74599 0
220404-01:29:53 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:29:53 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:29:53 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:29:53 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:29:59 [INFO] -- Poll: TimesUp 81979 0
220404-01:29:59 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:29:59 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:29:59 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:29:59 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:30:05 [INFO] -- Poll: TimesUp 35580 0
220404-01:30:05 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:30:05 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:30:05 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:30:05 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:30:11 [INFO] -- Poll: TimesUp 10990 0
220404-01:30:11 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:30:11 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:30:11 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:30:11 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:30:17 [INFO] -- Poll: TimesUp 60250 0
220404-01:30:17 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:30:17 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:30:17 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:30:17 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:30:23 [INFO] -- Poll: TimesUp 77028 0
220404-01:30:23 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:30:23 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:30:23 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:30:23 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:30:29 [INFO] -- Poll: TimesUp 40829 0
220404-01:30:29 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:30:29 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:30:29 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:30:29 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:30:35 [INFO] -- Poll: TimesUp 78261 0
220404-01:30:35 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:30:35 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:30:35 [INFO] -- PollAck: LockerReaderDriver is up!
220404-01:30:35 [INFO] -- PollAck: TouchDisplayHandler is up!
220404-01:30:41 [INFO] -- Poll: TimesUp 27669 0
220404-01:30:41 [INFO] -- PollAck: BarcodeReaderDriver is up!
220404-01:30:41 [INFO] -- PollAck: OctopusCardReaderDriver is up!
220404-01:30:41 [INFO] -- PollAck: LockerReaderDriver is up!
